shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
H01E,41.116723,-74.152063,1
H01E,41.1167407,-74.1518623,2
H01E,41.1158152,-74.1524148,3
H01E,41.1151524,-74.1506714,4
H01E,41.1149422,-74.1499311,5
H01E,41.1148937,-74.1496253,6
H01E,41.1148978,-74.1492605,7
H01E,41.1151484,-74.1469216,8
H01E,41.1151645,-74.146235,9
H01E,41.1151605,-74.1450441,10
H01E,41.1151281,-74.1446364,11
H01E,41.1150716,-74.1441107,12
H01E,41.1149463,-74.1436976,13
H01E,41.1146795,-74.143247,14
H01E,41.1144734,-74.1429627,15
H01E,41.1143522,-74.1426998,16
H01E,41.1135358,-74.1401303,17
H01E,41.1129982,-74.1386658,18
H01E,41.1128972,-74.1385102,19
H01E,41.1124284,-74.1371959,20
H01E,41.1123799,-74.1368955,21
H01E,41.1122627,-74.1352111,22
H01E,41.1122586,-74.1350287,23
H01E,41.112194,-74.1340041,24
H01E,41.1123192,-74.1325933,25
H01E,41.1123071,-74.1324753,26
H01E,41.1124486,-74.1308552,27
H01E,41.1125132,-74.1293746,28
H01E,41.1125415,-74.1292888,29
H01E,41.1128285,-74.1209793,30
H01E,41.1128164,-74.1203892,31
H01E,41.1126992,-74.1189355,32
H01E,41.1126507,-74.1188174,33
H01E,41.1122263,-74.114247,34
H01E,41.1126628,-74.1141719,35
H01E,41.112661,-74.114081,36
H01E,41.1133297,-74.1140592,37
H01E,41.1142956,-74.1138929,38
H01E,41.1152494,-74.1137213,39
H01E,41.1156657,-74.113453,40
H01E,41.1158839,-74.1130936,41
H01E,41.1156737,-74.1122407,42
H01E,41.1155202,-74.1099876,43
H01E,41.1153262,-74.1083461,44
H01E,41.1108844,-74.0886855,45
H01E,41.1105571,-74.0876395,46
H01E,41.1101205,-74.0865076,47
H01E,41.1096234,-74.0855956,48
H01E,41.1090656,-74.0847427,49
H01E,41.1078692,-74.0832245,50
H01E,41.1063373,-74.0814489,51
H01E,41.105537,-74.0802902,52
H01E,41.1046881,-74.0786541,53
H01E,41.103912,-74.0766102,54
H01E,41.0988025,-74.0567243,55
H01E,41.0984549,-74.0555763,56
H01E,41.0979657,-74.0537739,57
H01E,41.0970278,-74.0494663,58
H01E,41.0968419,-74.0482646,59
H01E,41.0967368,-74.0469611,60
H01E,41.0967368,-74.04459,61
H01E,41.0970076,-74.0422833,62
H01E,41.0974523,-74.0404218,63
H01E,41.097897,-74.0390164,64
H01E,41.1022911,-74.0286523,65
H01E,41.1030632,-74.0261471,66
H01E,41.1034674,-74.0242481,67
H01E,41.1038352,-74.0217429,68
H01E,41.1039161,-74.0186155,69
H01E,41.1011673,-73.9857048,70
H01E,41.1006297,-73.9585877,71
H01E,41.1005206,-73.9563453,72
H01E,41.1004397,-73.955766,73
H01E,41.1003508,-73.9555031,74
H01E,41.1002538,-73.9550686,75
H01E,41.1001244,-73.9545751,76
H01E,41.099987,-73.9542907,77
H01E,41.0997808,-73.9540279,78
H01E,41.0994938,-73.9537972,79
H01E,41.0991502,-73.9537919,80
H01E,41.0989965,-73.9538831,81
H01E,41.0989117,-73.9542854,82
H01E,41.0989804,-73.9546609,83
H01E,41.0993442,-73.9549935,84
H01E,41.0996716,-73.9551866,85
H01E,41.0999263,-73.9555568,86
H01E,41.1000072,-73.9559269,87
H01E,41.1000193,-73.9563829,88
H01E,41.0995948,-73.9590973,89
H01E,41.099607,-73.9599878,90
H01E,41.0995585,-73.9602399,91
H01E,41.0993846,-73.9605457,92
H01E,41.0996272,-73.9614254,93
H01E,41.100375,-73.9614147,94
H01E,41.1003791,-73.9622784,95
H01E,41.100367,-73.962756,96
H01E,41.099865,-73.962821,97
H01W,41.099865,-73.962821,1
H01W,41.0995908,-73.9627665,2
H01W,41.0995706,-73.9614254,3
H01W,41.0996433,-73.9614147,4
