trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
139721-LH2207-LH2207-Weekday-42,07:48:00,07:48:00,HACHSU,1,0,0
139721-LH2207-LH2207-Weekday-42,07:54:00,07:54:00,AIRME,2,0,0
139721-LH2207-LH2207-Weekday-42,08:21:00,08:21:00,PALILJ,3,0,0
139722-LH2207-LH2207-Weekday-42,08:55:00,08:55:00,HACHSU,1,0,0
139722-LH2207-LH2207-Weekday-42,09:02:00,09:02:00,AIRME,2,0,0
139722-LH2207-LH2207-Weekday-42,09:17:00,09:17:00,PALILJ,3,0,0
139723-LH2207-LH2207-Weekday-42,06:04:00,06:04:00,HACHSU,1,0,0
139723-LH2207-LH2207-Weekday-42,06:09:00,06:09:00,AIRME,2,0,0
139723-LH2207-LH2207-Weekday-42,06:27:00,06:27:00,PALILJ,3,0,0
139724-LH2207-LH2207-Weekday-42,06:23:00,06:23:00,HACHSU,1,0,0
139724-LH2207-LH2207-Weekday-42,06:28:00,06:28:00,AIRME,2,0,0
139724-LH2207-LH2207-Weekday-42,06:50:00,06:50:00,PALILJ,3,0,0
139725-LH2207-LH2207-Weekday-42,07:05:00,07:05:00,HACHSU,1,0,0
139725-LH2207-LH2207-Weekday-42,07:14:00,07:14:00,AIRME,2,0,0
139725-LH2207-LH2207-Weekday-42,07:35:00,07:35:00,PALILJ,3,0,0
139726-LH2207-LH2207-Weekday-42,16:33:00,16:33:00,HACHSU,1,0,0
139726-LH2207-LH2207-Weekday-42,16:41:00,16:41:00,AIRME,2,0,0
139726-LH2207-LH2207-Weekday-42,16:57:00,16:57:00,PALILJ,3,0,0
139727-LH2207-LH2207-Weekday-42,17:04:00,17:04:00,HACHSU,1,0,0
139727-LH2207-LH2207-Weekday-42,17:12:00,17:12:00,AIRME,2,0,0
139727-LH2207-LH2207-Weekday-42,17:28:00,17:28:00,PALILJ,3,0,0
139728-LH2207-LH2207-Weekday-42,17:34:00,17:34:00,HACHSU,1,0,0
139728-LH2207-LH2207-Weekday-42,17:42:00,17:42:00,AIRME,2,0,0
139728-LH2207-LH2207-Weekday-42,17:58:00,17:58:00,PALILJ,3,0,0
139729-LH2207-LH2207-Weekday-42,18:54:00,18:54:00,HACHSU,1,0,0
139729-LH2207-LH2207-Weekday-42,19:02:00,19:02:00,AIRME,2,0,0
139729-LH2207-LH2207-Weekday-42,19:21:00,19:21:00,PALILJ,3,0,0
139730-LH2207-LH2207-Weekday-42,05:57:00,05:57:00,PALILJ,1,0,0
139730-LH2207-LH2207-Weekday-42,06:10:00,06:10:00,AIRMW,2,0,0
139730-LH2207-LH2207-Weekday-42,06:21:00,06:21:00,HACHSU,3,0,0
139731-LH2207-LH2207-Weekday-42,07:17:00,07:17:00,PALILJ,1,0,0
139731-LH2207-LH2207-Weekday-42,07:30:00,07:30:00,AIRMW,2,0,0
139731-LH2207-LH2207-Weekday-42,07:41:00,07:41:00,HACHSU,3,0,0
139732-LH2207-LH2207-Weekday-42,08:15:00,08:15:00,PALILJ,1,0,0
139732-LH2207-LH2207-Weekday-42,08:28:00,08:28:00,AIRMW,2,0,0
139732-LH2207-LH2207-Weekday-42,08:39:00,08:39:00,HACHSU,3,0,0
139733-LH2207-LH2207-Weekday-42,15:44:00,15:44:00,PALILJ,1,0,0
139733-LH2207-LH2207-Weekday-42,16:03:00,16:03:00,AIRMW,2,0,0
139733-LH2207-LH2207-Weekday-42,16:13:00,16:13:00,HACHSU,3,0,0
139734-LH2207-LH2207-Weekday-42,16:48:00,16:48:00,PALILJ,1,0,0
139734-LH2207-LH2207-Weekday-42,17:07:00,17:07:00,AIRMW,2,0,0
139734-LH2207-LH2207-Weekday-42,17:17:00,17:17:00,HACHSU,3,0,0
139735-LH2207-LH2207-Weekday-42,17:51:00,17:51:00,PALILJ,1,0,0
139735-LH2207-LH2207-Weekday-42,18:10:00,18:10:00,AIRMW,2,0,0
139735-LH2207-LH2207-Weekday-42,18:21:00,18:21:00,HACHSU,3,0,0
139736-LH2207-LH2207-Weekday-42,18:46:00,18:46:00,PALILJ,1,0,0
139736-LH2207-LH2207-Weekday-42,19:04:00,19:04:00,AIRMW,2,0,0
139736-LH2207-LH2207-Weekday-42,19:13:00,19:13:00,HACHSU,3,0,0
139737-LH2207-LH2207-Weekday-42,18:53:00,18:53:00,PALILJ,1,0,0
139737-LH2207-LH2207-Weekday-42,19:10:00,19:10:00,AIRMW,2,0,0
139737-LH2207-LH2207-Weekday-42,19:19:00,19:19:00,HACHSU,3,0,0
139738-LH2207-LH2207-Weekday-42,04:26:00,04:26:00,MANYMO,1,0,0
139738-LH2207-LH2207-Weekday-42,04:35:00,04:35:00,SPVAFR,2,0,0
139738-LH2207-LH2207-Weekday-42,04:44:00,04:44:00,NY59FE,3,0,0
139738-LH2207-LH2207-Weekday-42,04:54:00,04:54:00,PALILJ,4,0,0
139738-LH2207-LH2207-Weekday-42,05:04:00,05:04:00,WESTE,5,0,0
139738-LH2207-LH2207-Weekday-42,05:06:00,05:06:00,MABAN,6,0,0
139738-LH2207-LH2207-Weekday-42,05:07:00,05:07:00,NYPA,7,0,0
139738-LH2207-LH2207-Weekday-42,05:08:00,05:08:00,HAFEWP,8,0,0
139738-LH2207-LH2207-Weekday-42,05:11:00,05:11:00,GAMA,9,0,0
139738-LH2207-LH2207-Weekday-42,05:13:00,05:13:00,HAMCON,10,0,0
139739-LH2207-LH2207-Weekday-42,04:47:00,04:47:00,MANYMO,1,0,0
139739-LH2207-LH2207-Weekday-42,04:56:00,04:56:00,SPVAFR,2,0,0
139739-LH2207-LH2207-Weekday-42,05:05:00,05:05:00,NY59FE,3,0,0
139739-LH2207-LH2207-Weekday-42,05:15:00,05:15:00,PALILJ,4,0,0
139739-LH2207-LH2207-Weekday-42,05:25:00,05:25:00,WESTE,5,0,0
139739-LH2207-LH2207-Weekday-42,05:27:00,05:27:00,MABAN,6,0,0
139739-LH2207-LH2207-Weekday-42,05:28:00,05:28:00,NYPA,7,0,0
139739-LH2207-LH2207-Weekday-42,05:29:00,05:29:00,HAFEWP,8,0,0
139739-LH2207-LH2207-Weekday-42,05:32:00,05:32:00,GAMA,9,0,0
139739-LH2207-LH2207-Weekday-42,05:34:00,05:34:00,HAMCON,10,0,0
139740-LH2207-LH2207-Weekday-42,05:09:00,05:09:00,MANYMO,1,0,0
139740-LH2207-LH2207-Weekday-42,05:19:00,05:19:00,SPVAFR,2,0,0
139740-LH2207-LH2207-Weekday-42,05:29:00,05:29:00,NY59FE,3,0,0
139740-LH2207-LH2207-Weekday-42,05:39:00,05:39:00,PALILJ,4,0,0
139740-LH2207-LH2207-Weekday-42,05:53:00,05:53:00,WESTE,5,0,0
139740-LH2207-LH2207-Weekday-42,05:55:00,05:55:00,MABAN,6,0,0
139740-LH2207-LH2207-Weekday-42,05:57:00,05:57:00,NYPA,7,0,0
139740-LH2207-LH2207-Weekday-42,05:58:00,05:58:00,HAFEWP,8,0,0
139740-LH2207-LH2207-Weekday-42,06:01:00,06:01:00,GAMA,9,0,0
139740-LH2207-LH2207-Weekday-42,06:04:00,06:04:00,HAMCON,10,0,0
139741-LH2207-LH2207-Weekday-42,05:39:00,05:39:00,MANYMO,1,0,0
139741-LH2207-LH2207-Weekday-42,05:49:00,05:49:00,SPVAFR,2,0,0
139741-LH2207-LH2207-Weekday-42,05:59:00,05:59:00,NY59FE,3,0,0
139741-LH2207-LH2207-Weekday-42,06:11:00,06:11:00,PALILJ,4,0,0
139741-LH2207-LH2207-Weekday-42,06:29:00,06:29:00,WESTE,5,0,0
139741-LH2207-LH2207-Weekday-42,06:31:00,06:31:00,MABAN,6,0,0
139741-LH2207-LH2207-Weekday-42,06:33:00,06:33:00,NYPA,7,0,0
139741-LH2207-LH2207-Weekday-42,06:34:00,06:34:00,HAFEWP,8,0,0
139741-LH2207-LH2207-Weekday-42,06:37:00,06:37:00,GAMA,9,0,0
139741-LH2207-LH2207-Weekday-42,06:40:00,06:40:00,HAMCON,10,0,0
139742-LH2207-LH2207-Weekday-42,05:53:00,05:53:00,MANYMO,1,0,0
139742-LH2207-LH2207-Weekday-42,06:03:00,06:03:00,SPVAFR,2,0,0
139742-LH2207-LH2207-Weekday-42,06:13:00,06:13:00,NY59FE,3,0,0
139742-LH2207-LH2207-Weekday-42,06:26:00,06:26:00,PALILJ,4,0,0
139742-LH2207-LH2207-Weekday-42,06:44:00,06:44:00,WESTE,5,0,0
139742-LH2207-LH2207-Weekday-42,06:46:00,06:46:00,MABAN,6,0,0
139742-LH2207-LH2207-Weekday-42,06:48:00,06:48:00,NYPA,7,0,0
139742-LH2207-LH2207-Weekday-42,06:49:00,06:49:00,HAFEWP,8,0,0
139742-LH2207-LH2207-Weekday-42,06:52:00,06:52:00,GAMA,9,0,0
139742-LH2207-LH2207-Weekday-42,06:55:00,06:55:00,HAMCON,10,0,0
139743-LH2207-LH2207-Weekday-42,06:25:00,06:25:00,MANYMO,1,0,0
139743-LH2207-LH2207-Weekday-42,06:35:00,06:35:00,SPVAFR,2,0,0
139743-LH2207-LH2207-Weekday-42,06:45:00,06:45:00,NY59FE,3,0,0
139743-LH2207-LH2207-Weekday-42,06:58:00,06:58:00,PALILJ,4,0,0
139743-LH2207-LH2207-Weekday-42,07:17:00,07:17:00,WESTE,5,0,0
139743-LH2207-LH2207-Weekday-42,07:19:00,07:19:00,MABAN,6,0,0
139743-LH2207-LH2207-Weekday-42,07:21:00,07:21:00,NYPA,7,0,0
139743-LH2207-LH2207-Weekday-42,07:22:00,07:22:00,HAFEWP,8,0,0
139743-LH2207-LH2207-Weekday-42,07:25:00,07:25:00,GAMA,9,0,0
139743-LH2207-LH2207-Weekday-42,07:29:00,07:29:00,HAMCON,10,0,0
139744-LH2207-LH2207-Weekday-42,06:42:00,06:42:00,MANYMO,1,0,0
139744-LH2207-LH2207-Weekday-42,06:52:00,06:52:00,SPVAFR,2,0,0
139744-LH2207-LH2207-Weekday-42,07:02:00,07:02:00,NY59FE,3,0,0
139744-LH2207-LH2207-Weekday-42,07:16:00,07:16:00,PALILJ,4,0,0
139744-LH2207-LH2207-Weekday-42,07:34:00,07:34:00,WESTE,5,0,0
139744-LH2207-LH2207-Weekday-42,07:36:00,07:36:00,MABAN,6,0,0
139744-LH2207-LH2207-Weekday-42,07:38:00,07:38:00,NYPA,7,0,0
139744-LH2207-LH2207-Weekday-42,07:39:00,07:39:00,HAFEWP,8,0,0
139744-LH2207-LH2207-Weekday-42,07:42:00,07:42:00,GAMA,9,0,0
139744-LH2207-LH2207-Weekday-42,07:45:00,07:45:00,HAMCON,10,0,0
139745-LH2207-LH2207-Weekday-42,06:54:00,06:54:00,MANYMO,1,0,0
139745-LH2207-LH2207-Weekday-42,07:04:00,07:04:00,SPVAFR,2,0,0
139745-LH2207-LH2207-Weekday-42,07:13:00,07:13:00,NY59FE,3,0,0
139745-LH2207-LH2207-Weekday-42,07:36:00,07:36:00,PALILJ,4,0,0
139745-LH2207-LH2207-Weekday-42,07:56:00,07:56:00,WESTE,5,0,0
139745-LH2207-LH2207-Weekday-42,07:58:00,07:58:00,MABAN,6,0,0
139745-LH2207-LH2207-Weekday-42,08:00:00,08:00:00,NYPA,7,0,0
139745-LH2207-LH2207-Weekday-42,08:02:00,08:02:00,HAFEWP,8,0,0
139745-LH2207-LH2207-Weekday-42,08:05:00,08:05:00,GAMA,9,0,0
139745-LH2207-LH2207-Weekday-42,08:08:00,08:08:00,HAMCON,10,0,0
139746-LH2207-LH2207-Weekday-42,07:10:00,07:10:00,MANYMO,1,0,0
139746-LH2207-LH2207-Weekday-42,07:20:00,07:20:00,SPVAFR,2,0,0
139746-LH2207-LH2207-Weekday-42,07:30:00,07:30:00,NY59FE,3,0,0
139746-LH2207-LH2207-Weekday-42,07:50:00,07:50:00,PALILJ,4,0,0
139746-LH2207-LH2207-Weekday-42,08:11:00,08:11:00,WESTE,5,0,0
139746-LH2207-LH2207-Weekday-42,08:13:00,08:13:00,MABAN,6,0,0
139746-LH2207-LH2207-Weekday-42,08:15:00,08:15:00,NYPA,7,0,0
139746-LH2207-LH2207-Weekday-42,08:17:00,08:17:00,HAFEWP,8,0,0
139746-LH2207-LH2207-Weekday-42,08:20:00,08:20:00,GAMA,9,0,0
139746-LH2207-LH2207-Weekday-42,08:23:00,08:23:00,HAMCON,10,0,0
139747-LH2207-LH2207-Weekday-42,07:32:00,07:32:00,MANYMO,1,0,0
139747-LH2207-LH2207-Weekday-42,07:42:00,07:42:00,SPVAFR,2,0,0
139747-LH2207-LH2207-Weekday-42,07:51:00,07:51:00,NY59FE,3,0,0
139747-LH2207-LH2207-Weekday-42,08:11:00,08:11:00,PALILJ,4,0,0
139747-LH2207-LH2207-Weekday-42,08:28:00,08:28:00,WESTE,5,0,0
139747-LH2207-LH2207-Weekday-42,08:30:00,08:30:00,MABAN,6,0,0
139747-LH2207-LH2207-Weekday-42,08:32:00,08:32:00,NYPA,7,0,0
139747-LH2207-LH2207-Weekday-42,08:34:00,08:34:00,HAFEWP,8,0,0
139747-LH2207-LH2207-Weekday-42,08:37:00,08:37:00,GAMA,9,0,0
139747-LH2207-LH2207-Weekday-42,08:40:00,08:40:00,HAMCON,10,0,0
139748-LH2207-LH2207-Weekday-42,08:08:00,08:08:00,MANYMO,1,0,0
139748-LH2207-LH2207-Weekday-42,08:18:00,08:18:00,SPVAFR,2,0,0
139748-LH2207-LH2207-Weekday-42,08:28:00,08:28:00,NY59FE,3,0,0
139748-LH2207-LH2207-Weekday-42,08:40:00,08:40:00,PALILJ,4,0,0
139748-LH2207-LH2207-Weekday-42,08:58:00,08:58:00,WESTE,5,0,0
139748-LH2207-LH2207-Weekday-42,09:00:00,09:00:00,MABAN,6,0,0
