route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
H01,LH2207-LH2207-Weekday-42,139721-LH2207-LH2207-Weekday-42,"East",0,H0701,H01E
H01,LH2207-LH2207-Weekday-42,139722-LH2207-LH2207-Weekday-42,"East",0,H0501,H01E
H01X,LH2207-LH2207-Weekday-42,139723-LH2207-LH2207-Weekday-42,"East",0,H0306,H01XE
H01X,LH2207-LH2207-Weekday-42,139724-LH2207-LH2207-Weekday-42,"East",0,H0502,H01XE
H01,LH2207-LH2207-Weekday-42,139725-LH2207-LH2207-Weekday-42,"East",0,H0507,H01E
H01,LH2207-LH2207-Weekday-42,139726-LH2207-LH2207-Weekday-42,"East",0,H0101,H01E
H01,LH2207-LH2207-Weekday-42,139727-LH2207-LH2207-Weekday-42,"East",0,H0102,H01E
H01,LH2207-LH2207-Weekday-42,139728-LH2207-LH2207-Weekday-42,"East",0,H0710,H01E
H01,LH2207-LH2207-Weekday-42,139729-LH2207-LH2207-Weekday-42,"East",0,H0715,H01E
H01,LH2207-LH2207-Weekday-42,139730-LH2207-LH2207-Weekday-42,"West",1,H0502,H01W
H01,LH2207-LH2207-Weekday-42,139731-LH2207-LH2207-Weekday-42,"West",1,H0701,H01W
H01,LH2207-LH2207-Weekday-42,139732-LH2207-LH2207-Weekday-42,"West",1,H0501,H01W
H01,LH2207-LH2207-Weekday-42,139733-LH2207-LH2207-Weekday-42,"West",1,H0101,H01W
H01,LH2207-LH2207-Weekday-42,139734-LH2207-LH2207-Weekday-42,"West",1,H0710,H01W
H01X,LH2207-LH2207-Weekday-42,139735-LH2207-LH2207-Weekday-42,"West",1,H0715,H01XW
H01X,LH2207-LH2207-Weekday-42,139736-LH2207-LH2207-Weekday-42,"West",1,H0101,H01XW
H01,LH2207-LH2207-Weekday-42,139737-LH2207-LH2207-Weekday-42,"West",1,H0713,H01W
H03,LH2207-LH2207-Weekday-42,139738-LH2207-LH2207-Weekday-42,"East",0,H0301,H03E
H03,LH2207-LH2207-Weekday-42,139739-LH2207-LH2207-Weekday-42,"East",0,H0302,H03E
H03,LH2207-LH2207-Weekday-42,139740-LH2207-LH2207-Weekday-42,"East",0,H0303,H03E
H03,LH2207-LH2207-Weekday-42,139741-LH2207-LH2207-Weekday-42,"East",0,H0304,H03E
H03,LH2207-LH2207-Weekday-42,139742-LH2207-LH2207-Weekday-42,"East",0,H0305,H03E
H03,LH2207-LH2207-Weekday-42,139743-LH2207-LH2207-Weekday-42,"East",0,H0301,H03E
H03,LH2207-LH2207-Weekday-42,139744-LH2207-LH2207-Weekday-42,"East",0,H0307,H03E
H03,LH2207-LH2207-Weekday-42,139745-LH2207-LH2207-Weekday-42,"East",0,H0302,H03E
H03,LH2207-LH2207-Weekday-42,139746-LH2207-LH2207-Weekday-42,"East",0,H0303,H03E
H03,LH2207-LH2207-Weekday-42,139747-LH2207-LH2207-Weekday-42,"East",0,H0306,H03E
H03,LH2207-LH2207-Weekday-42,139748-LH2207-LH2207-Weekday-42,"East",0,H0304,H03E
H03,LH2207-LH2207-Weekday-42,139749-LH2207-LH2207-Weekday-42,"East",0,H0301,H03E
H03,LH2207-LH2207-Weekday-42,139750-LH2207-LH2207-Weekday-42,"East",0,H0307,H03E
H03,LH2207-LH2207-Weekday-42,139751-LH2207-LH2207-Weekday-42,"East",0,H0302,H03E
H03,LH2207-LH2207-Weekday-42,139752-LH2207-LH2207-Weekday-42,"East",0,H0303,H03E
H03,LH2207-LH2207-Weekday-42,139753-LH2207-LH2207-Weekday-42,"East",0,H0304,H03E
H03,LH2207-LH2207-Weekday-42,139754-LH2207-LH2207-Weekday-42,"East",0,H0509,H03E
H03,LH2207-LH2207-Weekday-42,139755-LH2207-LH2207-Weekday-42,"East",0,H0301,H03E
H03,LH2207-LH2207-Weekday-42,139756-LH2207-LH2207-Weekday-42,"East",0,H0303,H03E
H03,LH2207-LH2207-Weekday-42,139757-LH2207-LH2207-Weekday-42,"East",0,H0308,H03E
H03,LH2207-LH2207-Weekday-42,139758-LH2207-LH2207-Weekday-42,"East",0,H0508,H03E
H03,LH2207-LH2207-Weekday-42,139760-LH2207-LH2207-Weekday-42,"East",0,H0309,H03E
H03,LH2207-LH2207-Weekday-42,139761-LH2207-LH2207-Weekday-42,"East",0,H0312,H03E
H03,LH2207-LH2207-Weekday-42,139762-LH2207-LH2207-Weekday-42,"East",0,H0314,H03E
H03,LH2207-LH2207-Weekday-42,139763-LH2207-LH2207-Weekday-42,"East",0,H0315,H03E
H03,LH2207-LH2207-Weekday-42,139764-LH2207-LH2207-Weekday-42,"East",0,H0310,H03E
H03,LH2207-LH2207-Weekday-42,139765-LH2207-LH2207-Weekday-42,"East",0,H0308,H03E
H03,LH2207-LH2207-Weekday-42,139766-LH2207-LH2207-Weekday-42,"East",0,H0316,H03E
H03,LH2207-LH2207-Weekday-42,139767-LH2207-LH2207-Weekday-42,"East",0,H0313,H03E
H03,LH2207-LH2207-Weekday-42,139768-LH2207-LH2207-Weekday-42,"East",0,H0312,H03E
H03,LH2207-LH2207-Weekday-42,139769-LH2207-LH2207-Weekday-42,"East",0,H0309,H03E
H03,LH2207-LH2207-Weekday-42,139770-LH2207-LH2207-Weekday-42,"East",0,H0314,H03E
H03,LH2207-LH2207-Weekday-42,139771-LH2207-LH2207-Weekday-42,"East",0,H0311,H03E
H03,LH2207-LH2207-Weekday-42,139772-LH2207-LH2207-Weekday-42,"East",0,H0315,H03E
H03,LH2207-LH2207-Weekday-42,139773-LH2207-LH2207-Weekday-42,"East",0,H0308,H03E
H03,LH2207-LH2207-Weekday-42,139774-LH2207-LH2207-Weekday-42,"East",0,H0316,H03E
H03,LH2207-LH2207-Weekday-42,139775-LH2207-LH2207-Weekday-42,"East",0,H0312,H03E
H03,LH2207-LH2207-Weekday-42,139776-LH2207-LH2207-Weekday-42,"East",0,H0315,H03E
H03,LH2207-LH2207-Weekday-42,139777-LH2207-LH2207-Weekday-42,"East",0,H0316,H03E
H03,LH2207-LH2207-Weekday-42,139778-LH2207-LH2207-Weekday-42,"East",0,H0712,H03E
H03,LH2207-LH2207-Weekday-42,139779-LH2207-LH2207-Weekday-42,"East",0,H0315,H03E
H03,LH2207-LH2207-Weekday-42,139780-LH2207-LH2207-Weekday-42,"West",1,H0301,H03W
H03,LH2207-LH2207-Weekday-42,139781-LH2207-LH2207-Weekday-42,"West",1,H0302,H03W
H03,LH2207-LH2207-Weekday-42,139782-LH2207-LH2207-Weekday-42,"West",1,H0303,H03W
H03,LH2207-LH2207-Weekday-42,139783-LH2207-LH2207-Weekday-42,"West",1,H0304,H03W
H03,LH2207-LH2207-Weekday-42,139784-LH2207-LH2207-Weekday-42,"West",1,H0305,H03W
H03,LH2207-LH2207-Weekday-42,139785-LH2207-LH2207-Weekday-42,"West",1,H0301,H03W
H03,LH2207-LH2207-Weekday-42,139786-LH2207-LH2207-Weekday-42,"West",1,H0307,H03W
H03,LH2207-LH2207-Weekday-42,139787-LH2207-LH2207-Weekday-42,"West",1,H0302,H03W
H03,LH2207-LH2207-Weekday-42,139788-LH2207-LH2207-Weekday-42,"West",1,H0303,H03W
H03,LH2207-LH2207-Weekday-42,139789-LH2207-LH2207-Weekday-42,"West",1,H0306,H03W
H03,LH2207-LH2207-Weekday-42,139790-LH2207-LH2207-Weekday-42,"West",1,H0304,H03W
H03,LH2207-LH2207-Weekday-42,139791-LH2207-LH2207-Weekday-42,"West",1,H0301,H03W
H03,LH2207-LH2207-Weekday-42,139792-LH2207-LH2207-Weekday-42,"West",1,H0303,H03W
H03,LH2207-LH2207-Weekday-42,139793-LH2207-LH2207-Weekday-42,"West",1,H0706,H03W
H03,LH2207-LH2207-Weekday-42,139794-LH2207-LH2207-Weekday-42,"West",1,H0505,H03W
H03,LH2207-LH2207-Weekday-42,139795-LH2207-LH2207-Weekday-42,"West",1,H0308,H03W
H03,LH2207-LH2207-Weekday-42,139796-LH2207-LH2207-Weekday-42,"West",1,H0508,H03W
H03,LH2207-LH2207-Weekday-42,139797-LH2207-LH2207-Weekday-42,"West",1,H0309,H03W
